epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.04104,3.44805,3.53937,2.5545,0.01821,0.03844,0.0095,0.00339,1.49021,inf,1.18875,0.00012,0.00012,0.00012
2,5.43085,2.54277,3.15527,1.84517,0.07551,0.15945,0.05557,0.01069,3.65002,inf,2.42546,0.000258713,0.000258713,0.000258713
3,6.64282,2.09316,2.44424,1.48596,0.09577,0.20222,0.1379,0.02366,3.74307,2.88591,2.68842,0.00039604,0.00039604,0.00039604
4,7.78078,1.98753,2.11765,1.41679,0.04077,0.08609,0.02695,0.00528,3.72555,2.90652,2.8029,0.000531981,0.000531981,0.000531981
5,8.9235,1.86835,1.78818,1.33796,0.20141,0.42528,0.16875,0.03657,3.31671,2.22165,2.46883,0.000666536,0.000666536,0.000666536
6,10.0809,1.79606,1.51788,1.27374,0.61562,0.59015,0.48733,0.08077,3.14779,1.56692,2.29303,0.000799705,0.000799705,0.000799705
7,11.4255,1.78936,1.3357,1.28019,0.91929,0.90348,0.92551,0.25434,2.64525,1.20714,1.7558,0.000931488,0.000931488,0.000931488
8,12.5851,1.82622,1.25305,1.30887,0.94537,0.9323,0.96584,0.38494,2.18743,1.08754,1.39734,0.00106188,0.00106188,0.00106188
9,13.7331,1.82143,1.18468,1.30767,0.92934,0.89723,0.9565,0.48425,1.8497,1.08479,1.19357,0.0011909,0.0011909,0.0011909
10,14.8691,1.71438,1.14624,1.24823,0.8948,0.83324,0.90841,0.29912,2.36993,1.42807,1.42839,0.00131852,0.00131852,0.00131852
11,15.9921,1.68897,1.06696,1.22399,0.92547,0.61851,0.83754,0.35979,2.08403,2.19962,1.28488,0.00144476,0.00144476,0.00144476
12,17.1224,1.65151,1.01875,1.21936,0.83215,0.7052,0.80623,0.21665,2.57611,1.88473,1.4611,0.00156961,0.00156961,0.00156961
13,18.2531,1.66511,1.01689,1.22546,0.85546,0.77396,0.86636,0.27562,2.38404,1.62551,1.36553,0.00169308,0.00169308,0.00169308
14,19.4065,1.66284,0.96694,1.22151,0.82198,0.79249,0.82747,0.18785,2.81019,1.40042,1.67376,0.00181516,0.00181516,0.00181516
15,20.5192,1.65781,0.95293,1.23099,0.87746,0.87304,0.9163,0.27515,2.59002,1.19197,1.53044,0.0018614,0.0018614,0.0018614
16,21.642,1.60772,0.92448,1.18686,0.91916,0.91012,0.96356,0.48452,1.90677,0.98062,1.14952,0.0018515,0.0018515,0.0018515
17,22.9329,1.70479,0.91808,1.24239,0.92401,0.90958,0.96511,0.52194,1.78411,0.91068,1.10306,0.0018416,0.0018416,0.0018416
18,24.0811,1.61995,0.89501,1.19993,0.90623,0.91568,0.93817,0.27631,2.57779,1.04909,1.45264,0.0018317,0.0018317,0.0018317
19,25.2186,1.62693,0.88625,1.20703,0.9332,0.95309,0.97002,0.36877,2.21091,0.94951,1.26628,0.0018218,0.0018218,0.0018218
20,26.3428,1.555,0.88878,1.18256,0.94255,0.94938,0.97306,0.36338,2.266,0.93409,1.28188,0.0018119,0.0018119,0.0018119
21,27.485,1.58585,0.84423,1.20104,0.8975,0.89604,0.92418,0.26916,2.57716,1.02371,1.45258,0.001802,0.001802,0.001802
22,28.6055,1.63034,0.83943,1.21899,0.86918,0.82972,0.84987,0.22466,2.73078,1.11232,1.50678,0.0017921,0.0017921,0.0017921
23,29.7488,1.58562,0.81465,1.19518,0.90307,0.84488,0.93516,0.56339,1.59383,1.3514,1.02396,0.0017822,0.0017822,0.0017822
24,30.9198,1.60458,0.81445,1.20036,0.93031,0.87845,0.91552,0.26118,2.54264,1.03337,1.42524,0.0017723,0.0017723,0.0017723
25,32.0441,1.50606,0.7822,1.16091,0.8973,0.87304,0.89306,0.22593,2.71636,1.11086,1.54617,0.0017624,0.0017624,0.0017624
26,33.2008,1.54757,0.78313,1.18047,0.96696,0.92312,0.9706,0.39022,2.14921,0.95807,1.22867,0.0017525,0.0017525,0.0017525
27,34.3395,1.58338,0.78406,1.21346,0.95727,0.9098,0.96175,0.39815,2.05801,0.97321,1.19929,0.0017426,0.0017426,0.0017426
28,35.4909,1.47472,0.77678,1.17414,0.93889,0.89361,0.94572,0.3223,2.33159,1.06358,1.31436,0.0017327,0.0017327,0.0017327
29,36.7706,1.58196,0.79402,1.21383,0.94854,0.88823,0.94831,0.34742,2.2357,1.07474,1.2612,0.0017228,0.0017228,0.0017228
30,37.8952,1.555,0.76654,1.20556,0.94655,0.88711,0.93583,0.32477,2.23465,1.07051,1.27335,0.0017129,0.0017129,0.0017129
31,39.0358,1.57152,0.77947,1.2069,0.84791,0.84217,0.84973,0.26661,2.41023,1.14422,1.37821,0.001703,0.001703,0.001703
32,40.209,1.54678,0.7845,1.19592,0.95649,0.92474,0.96161,0.34981,2.19062,0.95623,1.26215,0.0016931,0.0016931,0.0016931
33,41.3259,1.53767,0.7571,1.1855,0.95381,0.92312,0.95965,0.33646,2.25945,0.96086,1.27756,0.0016832,0.0016832,0.0016832
34,42.4565,1.4921,0.79009,1.17011,0.9235,0.90202,0.92902,0.27694,2.49093,1.04964,1.3993,0.0016733,0.0016733,0.0016733
35,43.5702,1.49856,0.72675,1.16279,0.95499,0.90751,0.96896,0.49929,1.67657,0.87453,1.08538,0.0016634,0.0016634,0.0016634
36,44.6743,1.50103,0.75386,1.16773,0.86805,0.86925,0.92134,0.4485,1.72622,0.92165,1.12098,0.0016535,0.0016535,0.0016535
37,45.7882,1.4894,0.75284,1.1673,0.78285,0.81159,0.85637,0.43988,1.72103,0.94521,1.11548,0.0016436,0.0016436,0.0016436
38,46.9101,1.51928,0.73516,1.18124,0.96638,0.55242,0.82104,0.34507,2.01544,inf,1.19817,0.0016337,0.0016337,0.0016337
39,48.0058,1.52128,0.74345,1.18685,0.93391,0.83027,0.92441,0.32425,2.25023,1.22423,1.27548,0.0016238,0.0016238,0.0016238
40,49.1578,1.50669,0.72439,1.18909,0.9614,0.89903,0.95159,0.30963,2.30491,1.05613,1.28405,0.0016139,0.0016139,0.0016139
41,50.2591,1.45114,0.71575,1.15031,0.93954,0.8961,0.92893,0.25981,2.50973,1.10677,1.38727,0.001604,0.001604,0.001604
